store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,enable_googlecheckout,tax_class_id,description,short_description,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Decoration,simple,73,9666,0,"25th Anniversary Centepiece 9""",,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,299,,,,Enabled,No,"Catalog, Search",Yes,Shipping,Use as a decoration or table centerpiece. Our 25th anniversary centerpiece features a two layer honeycomb base and silver 25 topper. Topper is made of heavy card stock.,Use as a decoration or table centerpiece. Our 25th anniversary centerpiece features a two layer honeycomb base and silver 25 topper. Topper is made of heavy card stock.,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"25th Anniversary Centepiece 9""",0,simple,,
admin,base,Decoration,simple,72,9668,0,"50th Anniversary Centepiece 9""",,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,299,,,,Enabled,No,"Catalog, Search",Yes,Shipping,Use as a decoration or table centerpiece. Our 50th anniversary centerpiece features a two layer honeycomb base and gold 50 topper. Topper is made of heavy card stock.,Use as a decoration or table centerpiece. Our 50th anniversary centerpiece features a two layer honeycomb base and gold 50 topper. Topper is made of heavy card stock.,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"50th Anniversary Centepiece 9""",0,simple,,
admin,base,Decoration,simple,30,12283,0,Baby Steps Boy Giant Party Sign,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,550,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Baby Steps Boy Giant Party Sign,0,simple,,
admin,base,Decoration,simple,29,12284,0,Baby Steps Girl Giant Party Sign,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,550,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Baby Steps Girl Giant Party Sign,0,simple,,
admin,base,Decoration,simple,28,13275,0,"Card Party Dangling Cutout 30""",,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,450,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Show your cards! Card Party Dangling Cutouts feature colorful printed plastic cards dangling from shiny red diamond and heart and black spade and club die-cut ribbons. Large, two sided danglers show the Ace of Spades, King of Clubs, Queen of Diamonds and Jack of Hearts and dangle 30in.","Show your cards! Card Party Dangling Cutouts feature colorful printed plastic cards dangling from shiny red diamond and heart and black spade and club die-cut ribbons. Large, two sided danglers show the Ace of Spades, King of Clubs, Queen of Diamonds and Jack of Hearts and dangle 30in.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"Card Party Dangling Cutout 30""",0,simple,,
admin,base,Decoration,simple,31,13276,0,Card Party Casino Dangling Cutouts,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,349,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Card Party Casino Dangling Cutouts,0,simple,,
admin,base,Decoration,simple,29,13277,0,Card Party Casino Cutout Assortment,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,450,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Card Party Casino Cutout Assortment,0,simple,,
admin,base,Decoration,simple,28,13287,0,"Card Party Cutout Assortment 18""",,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,675,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Deck out your walls with these Card Party Cutouts. Each package includes 4 cutouts one each of: Jack of Hearts, Queen of Diamonds, King of Clubs and Ace of Spades measuring 18"". The back of each card is either black or red.","Deck out your walls with these Card Party Cutouts. Each package includes 4 cutouts one each of: Jack of Hearts, Queen of Diamonds, King of Clubs and Ace of Spades measuring 18"". The back of each card is either black or red.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"Card Party Cutout Assortment 18""",0,simple,,
admin,base,Decoration,simple,66,17014,0,Cowyboy Boots Mini Candle,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,350,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Cowyboy Boots Mini Candle,0,simple,,
admin,base,Decoration,simple,66,17122.99,0,Glitter Sparkling Candle,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,350,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Bring a special glow to your party with these Assorted Sparkling Glitter Birthday Candle . Tall, thin taper Candle  feature assorted colors and each are coated with a sparkling glitter finish. Adds a fun touch to cakes, cupcakes or any celebration food! Package includes 18 Sparkling Glitter Birthday Candle  measuring 7in long each.","Bring a special glow to your party with these Assorted Sparkling Glitter Birthday Candle . Tall, thin taper Candle  feature assorted colors and each are coated with a sparkling glitter finish. Adds a fun touch to cakes, cupcakes or any celebration food! Package includes 18 Sparkling Glitter Birthday Candle  measuring 7in long each.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Glitter Sparkling Candle,0,simple,,
admin,base,Decoration,simple,67,17176,0,"40th Birthday Molded Candle 2 3/4""",,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,250,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Sparkle your way through the years with our Number 40 Birthday Candle! Decorative shaped candle measures 2 3/4in tall and is mutlicolored. Use alone or combine with other Candle  to create special cake toppers for your celebration! Great for adding a bright touch to cakes, cupcakes or any party treats!","Sparkle your way through the years with our Number 40 Birthday Candle! Decorative shaped candle measures 2 3/4in tall and is mutlicolored. Use alone or combine with other Candle  to create special cake toppers for your celebration! Great for adding a bright touch to cakes, cupcakes or any party treats!",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"40th Birthday Molded Candle 2 3/4""",0,simple,,
