sku,_store,_type,_category,_root_category,_product_websites,name,price,product_type,short_description,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
425101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,"Sweet at 1 Birthday Girl Lunch Plates 9"" - 8ct",215,Tableware,"Loveable zoo animals will make the birthday girl smile with delight! These coordinating dinner size plates are perfect for a meal or party snacks, and make clean up a snap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,"Sweet at 1 Birthday Girl Snack Plates 7"" - 8ct",175,Tableware,Loveable zoo animals will make the birthday girl smile with delight! Coordinating luncheon size plates are perfect for snacks and cake or dessert.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,Sweet at 1 Birthday Girl Lunch Napkins - 16ct,215,Tableware,Loveable zoo animals will make the birthday girl smile with delight! Our coordinating lunch napkins are strong enough for any mess!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,Sweet at 1 Birthday Girl Paper Cups - 8ct,199,Tableware,Loveable zoo animals will make the birthday girl smile with delight! Coordinating hot/cold cups make party set up and clean up a snap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,"Sweet at 1 Birthday Girl Plastic Table Cover - 54"" x 108""",450,Tableware,Loveable zoo animals will make the birthday girl smile with delight! Our coordinating tablecovers help set the scene for the party!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,Sweet at 1 Birthday Girl Giant Banner - Over 5ft,499,Decoration,"Loveable zoo animals will make the birthday girl smile with delight! This giant party banner features pink, green, brown and white stripes, an elephant and zebra, and the words ""happy 1st birthday"". Includes stickers to add the birthday girl's name! Each package contains 1 giant party banner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,Sweet at 1 Birthday Girl Dangling Cutout - 3ct,299,Decoration,Loveable zoo animals will make the birthday girl smile with delight! Coordinating cutouts add extra flair to the party's atmosphere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425100,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,Sweet at 1 Birthday Boy Lunch Plates - 8ct,215,Tableware,"Blue Stripes and loveable zoo animals will make the birthday boy smile with delight! These coordinating dinner size plates are perfect for a meal or party snacks, and make clean up a snap!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145101,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,Sweet at 1 Birthday Girl Yard Sign,450,Decoration,Loveable zoo animals will make the birthday girl smile with delight! This fun yard sign lets guests know exactly where the celebration is taking place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415100,,simple,1st Birthday /Sweet at 1 Girl's Birthday,i-wannaparty,,"Sweet at 1 Birthday Boy Snack Plates 7"" - 8ct",175,Tableware,Blue Stripes and loveable zoo animals will make the birthday boy smile with delight! Coordinating luncheon size plates are perfect for snacks and cake or dessert.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
